yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,Wlratio,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2019,NL,ARI,ARI,W,2,162,81,1.103896104,85,77,N,N,N,N,813,5633,1419,288,40,220,540,1360,88,14,70,40,743,691,4.25,0,11,45,4395,1400,220,516,1427,86,136,0.986,Arizona Diamondbacks,Chase Field,2135510,101,101,ARI,ARI,ARI
2019,NL,ATL,ATL,E,1,162,81,1.492307692,97,65,Y,N,N,N,855,5560,1432,277,29,249,619,1467,89,28,60,35,743,675,4.19,1,8,44,4352,1421,203,548,1393,78,154,0.987,Atlanta Braves,SunTrust Park,2655100,105,103,ATL,ATL,ATL
2019,AL,BAL,BAL,E,5,162,81,0.5,54,108,N,N,N,N,729,5596,1379,252,25,213,462,1435,84,30,71,37,981,897,5.59,0,5,27,4329,1544,305,561,1248,108,155,0.982,Baltimore Orioles,Oriole Park at Camden Yards,1307807,99,102,BAL,BAL,BAL
2019,AL,BOS,BOS,E,3,162,81,1.076923077,84,78,N,N,N,N,901,5770,1554,345,27,245,590,1382,68,30,49,44,828,768,4.7,1,8,33,4413,1423,215,605,1633,88,115,0.985,Boston Red Sox,Fenway Park II,2924627,105,104,BOS,BOS,BOS
2019,AL,CHA,CHW,C,3,161,80,0.808988764,72,89,N,N,N,N,708,5529,1443,260,20,182,378,1549,63,28,66,32,832,769,4.9,6,7,33,4238,1438,238,582,1312,117,171,0.98,Chicago White Sox,Guaranteed Rate Field,1649775,97,99,CHW,CHA,CHA
2019,NL,CHN,CHC,C,3,162,81,1.076923077,84,78,N,N,N,N,814,5461,1378,270,26,256,581,1460,45,24,83,39,717,657,4.1,1,10,38,4326,1376,195,534,1444,118,141,0.981,Chicago Cubs,Wrigley Field,3094865,102,101,CHC,CHN,CHN
2019,NL,CIN,CIN,C,4,162,81,0.862068966,75,87,N,N,N,N,701,5450,1328,235,27,227,492,1436,80,38,89,33,711,668,4.18,0,10,46,4314,1270,214,536,1552,91,124,0.984,Cincinnati Reds,Great American Ball Park,1808685,103,103,CIN,CIN,CIN
2019,AL,CLE,CLE,C,2,162,81,1.347826087,93,69,N,N,N,N,769,5425,1354,286,18,223,563,1332,103,35,50,46,657,601,3.76,6,16,42,4313,1308,207,450,1508,83,110,0.985,Cleveland Indians,Progressive Field,1738642,104,102,CLE,CLE,CLE
2019,NL,COL,COL,W,4,162,81,0.78021978,71,91,N,N,N,N,835,5660,1502,323,41,224,489,1503,71,31,43,43,958,895,5.56,1,5,28,4346,1576,270,589,1264,97,165,0.984,Colorado Rockies,Coors Field,2993244,118,118,COL,COL,COL
2019,AL,DET,DET,C,5,161,81,0.412280702,47,114,N,N,N,N,582,5549,1333,292,41,149,391,1595,57,20,48,42,915,835,5.24,0,3,31,4299,1555,250,536,1368,110,127,0.981,Detroit Tigers,Comerica Park,1501430,102,104,DET,DET,DET
2019,AL,HOU,HOU,W,1,162,81,1.945454545,107,55,Y,N,Y,N,920,5613,1538,323,28,288,645,1166,67,27,66,57,640,595,3.66,2,14,47,4387,1205,230,448,1671,71,96,0.988,Houston Astros,Minute Maid Park,2857367,103,100,HOU,HOU,HOU
2019,AL,KCA,KCR,C,4,162,81,0.572815534,59,103,N,N,N,N,691,5496,1356,281,40,162,456,1405,117,39,59,42,869,824,5.2,1,7,37,4275,1525,221,582,1230,73,152,0.988,Kansas City Royals,Kauffman Stadium,1479659,101,102,KCR,KCA,KCA
2019,AL,LAA,ANA,W,4,162,81,0.8,72,90,N,N,N,N,769,5542,1368,268,21,220,586,1276,65,20,67,42,868,820,5.12,0,2,32,4328,1417,267,576,1404,92,118,0.984,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3019012,98,98,LAA,ANA,ANA
2019,NL,LAN,LAD,W,1,162,81,1.892857143,106,56,Y,N,N,N,886,5493,1414,302,20,279,607,1356,57,10,81,45,613,541,3.37,3,18,44,4337,1201,185,392,1519,106,117,0.982,Los Angeles Dodgers,Dodger Stadium,3974309,96,94,LAD,LAN,LAN
2019,NL,MIA,FLA,E,5,162,81,0.542857143,57,105,N,N,N,N,615,5512,1326,265,18,146,395,1469,55,30,73,33,808,760,4.74,2,8,27,4333,1340,236,615,1378,94,135,0.984,Miami Marlins,Marlins Park,811302,94,96,MIA,FLO,MIA
